a,b,c,d
Victory Park,Salekhard,Russia,"Gardens, squares, parks"
Victory Park,Prokhorovka,Russia,"Gardens, squares, parks"
Sea Glory Park,Ryazan,Russia,"Gardens, squares, parks"
Steam locomotive L-0186,Barnaul,Russia,military glory
Steam locomotive L-1174,Biisk,Russia,military glory
Steam locomotive monument L-0154,Kamen-na-Obi,Russia,military glory
Bridgehead Ivanovo snout,welcome,Russia,military glory
The area of ​​City of Military Glory»,Khabarovsk,Russia,military glory
Area of ​​Military Glory in Kozelsk,Kozelsk,Russia,military glory
Heroes Square,Novorossiysk,Russia,military glory
Heroes Square Kozelsk,Kozelsk,Russia,military glory
Area of ​​Fallen Fighters,Volgograd,Russia,military glory
Memory area,Yelabuga,Russia,military glory
Square of victory,Blagoveshchensk,Russia,military glory
Square of victory,Yakutsk,Russia,military glory
Square of victory,Saransk,Russia,military glory
Square of victory,Voronezh,Russia,military glory
Victory Square in Kaluga,Kaluga,Russia,military glory
Victory Square in the city of Yelets,Dace,Russia,military glory
Glory square,Khabarovsk,Russia,military glory
Area soldiers winners,Chernogorsk,Russia,military glory
Area Military Glory,dobrinka,Russia,military glory
Glade stars Cities-Heroes,Volgodonsk,Russia,military glory
Gun Biysk Fortress,Biisk,Russia,military glory
Rocket launcher Katyusha,Tula,Russia,military glory
inverse Museum,Arkhangelsk,Russia,military glory
Square Miners Glory,Gubkin,Russia,military glory
Square Miners Glory,Gubkin,Russia,military glory
Square of Courage,Cubit,Russia,military glory
Square of Fallen Fighters,Uryupinsk,Russia,military glory
Who Sorrow memorial,Ryazan,Russia,military glory
Sculpture Korchagin campaign continues,Volgodonsk,Russia,military glory
Sculpture Mir,Lipetsk,Russia,military glory
Sculptural portrait of Colonel Guard IE Alekseeva,Rossosh,Russia,military glory
soldiers boots,Star,Russia,military glory
Stela Air Glory,Oljokminsk,Russia,military glory
Stela Angel of Peace,Molotychi,Russia,military glory
Stella «Geroyam-kuryanam»,Kursk,Russia,military glory
Stele City of Military Glory»,Vyborg,Russia,military glory
Stele City of Military Glory»,Belgorod,Russia,military glory
Stele City of Military Glory»,Anapa,Russia,military glory
Stella «Glory Geroyam»,Penza,Russia,military glory
Victory stele,Lipetsk,Russia,military glory
Stela Sevskomu regiment,Sevsk,Russia,military glory
Stele in honor of awarding Tikhvin Order of Patriotic War I degree,Tikhvin,Russia,military glory
Stela Russian soldiers army of Peter I,Vyborg,Russia,military glory
KV-1C Parfino,Parfino,Russia,military glory
T-34,Nizhny Novgorod,Russia,military glory
T-34,great Luke,Russia,military glory
T-34,Barnaul,Russia,military glory
T-34,Tula,Russia,military glory
Tank. The memorial sign Novgorod liberators,Novgorod,Russia,military glory
vedette,Azov,Russia,military glory
Triptych Memory Wall,Tambov,Russia,military glory
Assumption memorial,Uspenskoe,Russia,military glory
Bomber Yak-28,Barnaul,Russia,military glory
hill of Glory,Izborsk,Russia,military glory
Russian Pieta,balls,Russia,military glory
The Heroes Alley,Mglin,Russia,military glory
The Heroes Alley,Venyov,Russia,military glory
Battery №394 Captain AE Zubkov,Gelendzhik,Russia,military glory
State Military Historical Museum Prokhorovka field,Prokhorovka,Russia,military glory
Memorial «victory»,Zabaykalsk,Russia,military glory
Memorial to the victims zlynkovchanam,Zlynka,Russia,military glory
The memorial complex Grieving Mother in Unecha,schooner,Russia,military glory
The memorial complex Khatsun,Khatsuni,Russia,military glory
Monument pilots 127th Regiment,Verebsk,Russia,military glory
Museum GA Rechkalova and fighting the Russian-American community,Zaykova,Russia,military glory
Monument 63rd Army of the Bryansk Front,Klintsy,Russia,military glory
Monument Spring 45,Bryansk,Russia,military glory
Monument Heroes of the Fatherland,Klintsy,Russia,military glory
Monument ED Bershanskaya,Krasnodar,Russia,military glory
Mourning Mother Monument,Hlynyschevo,Russia,military glory
Monument to Shchors Unecha,schooner,Russia,military glory
monument to the gunners,Bryansk,Russia,military glory
"Monument to soldiers - liberators, Gordeevka",Gordeevka,Russia,military glory
Monument to soldiers-drivers,Bryansk,Russia,military glory
Monument to soldiers-liberators,Klintsy,Russia,military glory
Monument locomotive Er 787-70,Bryansk,Russia,military glory
Monument to Soviet soldiers who died during the Great Patriotic War,Gelendzhik,Russia,military glory
Victory Park,Omsk,Russia,military glory
Partisan memorial,Smelizh,Russia,military glory
Sculpture Seeing at the front,Yakutsk,Russia,military glory
Ckver-Memorial Cranes of Ilmenite,Yakutsk,Russia,"Gardens, squares, parks"
Monument Forest sheds,Bryansk,Russia,military glory
Monument to Vladimir Vysotsky,New Urengoy,Russia,"Monuments, sculptures, memorials"
Monument builders Nadym,Nadym,Russia,"Monuments, sculptures, memorials"
Walk of Fame Star,Star,Russia,military glory
Train - Express,Nyagan,Russia,"Monuments, sculptures, memorials"
GAZ-21 Volga Yuri Gagarin,Gagarin,Russia,"Monuments, sculptures, memorials"
Alexander column (column Alexandria),Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Walk of Fame in Volgograd,Volgograd,Russia,"Monuments, sculptures, memorials"
alley bards,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Cosmonauts Alley and the monument to Sergei Korolyov,Moscow,Russia,"Monuments, sculptures, memorials"
Alley Suite. Monument to Peter and Fevronia,Nyagan,Russia,"Monuments, sculptures, memorials"
Alley call memory,Novosibirsk,Russia,"Monuments, sculptures, memorials"
alley writers,Murmansk,Russia,"Monuments, sculptures, memorials"
Aviation Avenue of Honor,Nizhnevartovsk,Russia,"Monuments, sculptures, memorials"
alley sculptures,Vyborg,Russia,"Monuments, sculptures, memorials"
Ugra Sports Glory Alley,Khanty-Mansiysk,Russia,"Monuments, sculptures, memorials"
the citys guardian angel,Volgograd,Russia,"Monuments, sculptures, memorials"
Arch in honor of the appearance of the icon of the Holy Mother Uryupinsk,Uryupinsk,Russia,"Monuments, sculptures, memorials"
Arch memory of the soldiers-peacekeepers and heroes-liquidators,Krasnodar,Russia,"Monuments, sculptures, memorials"
Art object Merchants Chest,Syktyvkar,Russia,"Monuments, sculptures, memorials"
Art object heart in Slavgorod station,Slaŭharad,Russia,"Monuments, sculptures, memorials"
Art object Tula alphabet,Tula,Russia,"Monuments, sculptures, memorials"
gunboat,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Arkhangelsk cemetery,Kazan,Russia,Cemeteries and graveyards
Architectural composition Twin Cities,Novorossiysk,Russia,"Monuments, sculptures, memorials"
Architectural Park Complex Kind Angel of Peace,Nizhnevartovsk,Russia,"Monuments, sculptures, memorials"
Architectural art composition Siberian spaces,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Astronomical point Solombalskaya harbor port of Arkhangelsk,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Bas Zaporozhye Cossacks Writing a Letter to the Turkish Sultan,Krasnodar,Russia,"Monuments, sculptures, memorials"
Barelef Holy Barbarians,Neryungri,Russia,"Monuments, sculptures, memorials"
The bas-reliefs of the Summer Palace,St. Petersburg,Russia,"Monuments, sculptures, memorials"
tower Pozdnyakov,Smolensk,Russia,architecture
blockade loudspeaker,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Large iron book,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Mass grave torpedo boats sailors who died in the battles against the Nazi invaders,Gelendzhik,Russia,"Monuments, sculptures, memorials"
Armored boat AK-454,Permian,Russia,military glory
Armored boat BC-13,Volgograd,Russia,"Monuments, sculptures, memorials"
Бронепоезд quot;Тульский рабочийquot;,Tula,Russia,military glory
The bronze monument to Buyan Badyrgy,red,Russia,"Monuments, sculptures, memorials"
Buddha Peace,Vladivostok,Russia,"Monuments, sculptures, memorials"
Bust AG Nikolaev,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust Serafimovich,Volgograd,Russia,"Monuments, sculptures, memorials"
AA Bust Ryzhikov,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust AP Karpinski,Karpinsk,Russia,"Monuments, sculptures, memorials"
Bust AS Pushkin,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust AS Pushkin,Tula,Russia,"Monuments, sculptures, memorials"
Bust AS Pushkin,Elista,Russia,"Monuments, sculptures, memorials"
Bust AF Deryabin,Izhevsk,Russia,"Monuments, sculptures, memorials"
Bust Athanasius Ordin-Nashchokin in Opochka,Opochka,Russia,"Monuments, sculptures, memorials"
Bust Athanasius Ordin-Naschokina in Krivskoe,Krivsk,Russia,"Monuments, sculptures, memorials"
VM bust Priomyhova,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Bust Vladislav Strizhova,Nadym,Russia,"Monuments, sculptures, memorials"
Bust of Hero of the Soviet Union Vasily Margelov,Pskov,Russia,"Monuments, sculptures, memorials"
Bust of Ivan Krylov,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Bust IE Repin,Krasnodar,Russia,"Monuments, sculptures, memorials"
Bust of Joseph Stalin for the 60th anniversary of Victory,Peaceful,Russia,"Monuments, sculptures, memorials"
Bust of Mikhail B. Barclay de Tolly,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust MI Golenishcheva-Kutuzov,Pskov,Russia,"Monuments, sculptures, memorials"
Bust MIKutuzov,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust MC Shtepkina,Sudzha,Russia,"Monuments, sculptures, memorials"
Bust MV Behterev,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Bust MI Kutuzov,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Bust of Mikhail Lermontov,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Bust NV Gogol,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Bust NV Gogol,Volgograd,Russia,"Monuments, sculptures, memorials"
Bust NN Aseeva,Kursk,Russia,"Monuments, sculptures, memorials"
Bust Plotnikov PA,Barnaul,Russia,"Monuments, sculptures, memorials"
Bust ST Konenkova,Smolensk,Russia,"Monuments, sculptures, memorials"
SM bust Kirov,Elista,Russia,"Monuments, sculptures, memorials"
Bust Salavat Yulayev,Malojaz,Russia,"Monuments, sculptures, memorials"
Bust of St. Innocent,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Bust FM Dostoevsky,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Bust FN Mukhina,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Bust of Edward Berzin,Magadan,Russia,"Monuments, sculptures, memorials"
Bust of JA Gagarin,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust of JA Gagarin,Krasnodar,Russia,"Monuments, sculptures, memorials"
Bust Academician AP Alexandrova,Pinery,Russia,"Monuments, sculptures, memorials"
Bust of Academician VS Pustovoyt,Krasnodar,Russia,"Monuments, sculptures, memorials"
Bust of Academician NV Cherskogo,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust of Lieutenant-General Dmitry Petrovich Neverovsky,Smolensk,Russia,"Monuments, sculptures, memorials"
Major General Yevgeny Ivanovich bust Venison,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust of General Nikolai Nikolaevich Rajewski,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust of General of Infantry Dmitry Sergeyevich Dokhturov,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust of Infantry General Pyotr Bagration,Smolensk,Russia,"Monuments, sculptures, memorials"
Bust Governor Î.I. Kraft,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust Decembrist AA Bestuzhev-Marly,Yakutsk,Russia,"Monuments, sculptures, memorials"
Bust Decembrist M. Naryshkin,Mound,Russia,"Monuments, sculptures, memorials"
"Bust of Marshal of the Soviet Union, RJ Malinowski",Khabarovsk,Russia,military glory
Bust of the Hero of the Soviet Union AI three times Pokryshkina,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Milepost,Solikamsk,Russia,"Monuments, sculptures, memorials"
Eternal flame,Irkutsk,Russia,"Monuments, sculptures, memorials"
The eternal flame (Victory Memorial),Arkhangelsk,Russia,military glory
Vladivostok Lord,Vladivostok,Russia,"Monuments, sculptures, memorials"
War memorial in the village Tie,Tie-Zaverh,Russia,military glory
Voroshilov battery,Russian island,Russia,"Monuments, sculptures, memorials"
Gate of Love,Pervouralsk,Russia,"Monuments, sculptures, memorials"
Hanseatic sign,Novgorod,Russia,"Monuments, sculptures, memorials"
326 Howitzer Artillery Regiment in Yelets,Dace,Russia,"Monuments, sculptures, memorials"
A giant fountain pen,Belokurikha,Russia,"Monuments, sculptures, memorials"
Globe in the garden Lopatynskom,Smolensk,Russia,"Monuments, sculptures, memorials"
Gnezdilovskaya height,Gnezdilovo,Russia,"Monuments, sculptures, memorials"
High relief School of the barricades,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
High relief IP Kulibina,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
